"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_Reff" "Month"
"12.193" 0.113522215318969 0.153433299786893 0.189337402872826 0.0137010531162897 -0.212252442961353 -0.158648024655828 -0.277934712813942 0.189337402872826 3
"12.286" 0.291998870712275 0.403010355147109 0.496312544843316 0.410719371234655 0.523391307113332 -3.43299924418721 -3.14984474353336 0.523391307113332 5
"12.290" -0.040699348271207 -0.0103509333571403 0.109565193357738 0.0144188348752762 -0.152625873439835 -0.0172062110477558 -0.182836427888811 0.109565193357738 3
"12.70" 0.137114623843438 0.114687516805194 0.13971060973244 0.160306203037183 0.152043702745536 0.451565668817127 -0.625101605393569 0.451565668817127 6
"12.97" 0.00619746597306259 -0.00832921021180488 0.0636781921838905 0.0586472952450022 0.035834885219613 0.112233903920383 0.05913080145392 0.112233903920383 6
"122.11" -0.316352946669348 -0.612861280148822 -0.699604085708109 -0.65601026516216 -0.400346696316618 0.0693988956318079 -2.42499064967609 0.0693988956318079 6
"122.17" 0.00688830219070635 0.083485476850093 0.0988177528195354 0.0376678802649001 0.0842776878567757 -0.103625322798018 -0.301838360853382 0.0988177528195354 3
"122.9" -0.225280103517289 -0.381386016430438 -0.299694023033059 -0.263645580708334 0.0148268718373279 0.143184407746908 -0.225725944776239 0.143184407746908 6
"123.31" -0.484244928663453 -0.546446086625922 -0.76738536184208 -1.16357163943562 -1.11276315354773 -0.740234804705287 -0.348764617445192 -0.348764617445192 7
"124.2" -0.181690763840828 -0.252289660776739 -0.423366373249629 -0.632196002465002 -0.40716495196436 -0.919601440681123 -0.321686497808896 -0.181690763840828 1
"127.11" -0.313769618438174 -0.226533525261255 -0.352286574907053 -0.293169079822636 -0.246490006283968 0.398026605484849 -0.498451709432211 0.398026605484849 6
"127.13" 0.0563256512617353 0.255090268276159 0.0257085965518628 0.155681732711827 0.286389403244172 -0.324415004372524 -0.194119672589012 0.286389403244172 5
"133.7" -0.143958124953634 0.047480751640639 0.0115875489620385 0.0902845844348127 0.178862018507197 -0.20320614883159 0.0314145401997459 0.178862018507197 5
"138.1" -0.0461346158081606 0.107725644605397 0.025720711006247 0.192685525042441 0.121401049259415 -0.553503929679146 -1.19208912277043 0.192685525042441 4
"139.15" -0.171517230784694 -0.384362083885167 -0.284307298430821 -0.20386484518297 -0.278721641490577 -0.268021076688566 -0.801122067092745 -0.171517230784694 1
"139.35" 0.0735270039873719 -0.0127751772077136 0.048473071566841 0.120761529658065 -0.00827497540306088 0.330440511919978 -0.439921009230392 0.330440511919978 6
"148.2" -0.0836455253787958 -0.0580682429426818 0.0892853982315173 0.207884147143585 0.220550669055689 -0.00639601354667807 0.10516449344105 0.220550669055689 5
"15.21" -0.183142751364788 -0.141184067938693 -0.0969970766731931 -0.156369997720295 -0.0387622598602106 -0.186089374086263 -0.185504235157822 -0.0387622598602106 5
