"X1" "X2" "X3" "X4"
"375" 22.16 2015 4 14850
"376" 22.16 2015 5 13230
"377" 22.16 2015 6 11556
"378" 22.16 2015 7 9936
"379" 41.1 1967 1 19710
"380" 41.1 1967 2 18036
"381" 41.1 1967 3 16524
"382" 41.1 1967 4 14850
"383" 41.1 1967 5 13230
"384" 41.1 1967 6 11556
"385" 41.1 1967 7 9936
"386" 41.1 1975 1 19710
"387" 41.1 1975 2 18036
"388" 41.1 1975 3 16524
"389" 41.1 1975 4 14850
"390" 41.1 1975 5 13230
"391" 41.1 1975 6 11556
"392" 41.1 1975 7 9936
"393" 41.1 1976 1 19764
"394" 41.1 1976 2 18090
"395" 41.1 1976 3 16524
"396" 41.1 1976 4 14850
"397" 41.1 1976 5 13230
"398" 41.1 1976 6 11556
"399" 41.1 1976 7 9936
"400" 41.1 1978 1 19710
"401" 41.1 1978 2 18036
"402" 41.1 1978 3 16524
"403" 41.1 1978 4 14850
"404" 41.1 1978 5 13230
"405" 41.1 1978 6 11556
"406" 41.1 1978 7 9936
"407" 41.1 1982 1 19710
"408" 41.1 1982 2 18036
"409" 41.1 1982 3 16524
"410" 41.1 1982 4 14850
"411" 41.1 1982 5 13230
"412" 41.1 1982 6 11556
"413" 41.1 1982 7 9936
"414" 41.1 1987 1 19710
"415" 41.1 1987 2 18036
"416" 41.1 1987 3 16524
"417" 41.1 1987 4 14850
"418" 41.1 1987 5 13230
"419" 41.1 1987 6 11556
"420" 41.1 1987 7 9936
"421" 41.1 1991 1 19710
"422" 41.1 1991 2 18036
"423" 41.1 1991 3 16524
"424" 41.1 1991 4 14850
"425" 41.1 1991 5 13230
"426" 41.1 1991 6 11556
"427" 41.1 1991 7 9936
"428" 41.1 1992 1 19764
"429" 41.1 1992 2 18090
"430" 41.1 1992 3 16524
"431" 41.1 1992 4 14850
"432" 41.1 1992 5 13230
"433" 41.1 1992 6 11556
"434" 41.1 1992 7 9936
"435" 41.1 1994 1 19710
"436" 41.1 1994 2 18036
"437" 41.1 1994 3 16524
"438" 41.1 1994 4 14850
"439" 41.1 1994 5 13230
"440" 41.1 1994 6 11556
"441" 41.1 1994 7 9936
"442" 41.1 1995 1 19710
"443" 41.1 1995 2 18036
"444" 41.1 1995 3 16524
"445" 41.1 1995 4 14850
"446" 41.1 1995 5 13230
"447" 41.1 1995 6 11556
"448" 41.1 1995 7 9936
"449" 41.1 1997 1 19710
"450" 41.1 1997 2 18036
"451" 41.1 1997 3 16524
"452" 41.1 1997 4 14850
"453" 41.1 1997 5 13230
"454" 41.1 1997 6 11556
"455" 41.1 1997 7 9936
"456" 41.1 2004 1 19764
"457" 41.1 2004 2 18090
"458" 41.1 2004 3 16524
"459" 41.1 2004 4 14850
"460" 41.1 2004 5 13230
"461" 41.1 2004 6 11556
"462" 41.1 2004 7 9936
"463" 41.1 2006 1 19710
"464" 41.1 2006 2 18036
"465" 41.1 2006 3 16524
"466" 41.1 2006 4 14850
"467" 41.1 2006 5 13230
"468" 41.1 2006 6 11556
"469" 41.1 2006 7 9936
"470" 41.1 2010 1 19710
"471" 41.1 2010 2 18036
"472" 41.1 2010 3 16524
"473" 41.1 2010 4 14850
"474" 41.1 2010 5 13230
"475" 41.1 2010 6 11556
"476" 41.1 2010 7 9936
"477" 41.1 2011 1 19710
"478" 41.1 2011 2 18036
"479" 41.1 2011 3 16524
"480" 41.1 2011 4 14850
"481" 41.1 2011 5 13230
"482" 41.1 2011 6 11556
"483" 41.1 2011 7 9936
"484" 41.1 2012 1 19764
"485" 41.1 2012 2 18090
"486" 41.1 2012 3 16524
"487" 41.1 2012 4 14850
"488" 41.1 2012 5 13230
"489" 41.1 2012 6 11556
"490" 41.1 2012 7 9936
"491" 41.1 2013 1 19710
"492" 41.1 2013 2 18036
"493" 41.1 2013 3 16524
"494" 41.1 2013 4 14850
"495" 41.1 2013 5 13230
"496" 41.1 2013 6 11556
"497" 41.1 2013 7 9936
"498" 41.1 2014 1 19710
"499" 41.1 2014 2 18036
"500" 41.1 2014 3 16524
"501" 41.1 2014 4 14850
"502" 41.1 2014 5 13230
"503" 41.1 2014 6 11556
"504" 41.1 2014 7 9936
"505" 55.5 2010 1 19710
"506" 55.5 2010 2 18036
"507" 55.5 2010 3 16524
"508" 55.5 2010 4 14850
"509" 55.5 2010 5 13230
"510" 55.5 2010 6 11556
"511" 55.5 2010 7 9936
"512" 55.5 2012 1 19764
"513" 55.5 2012 2 18090
"514" 55.5 2012 3 16524
"515" 55.5 2012 4 14850
"516" 55.5 2012 5 13230
"517" 55.5 2012 6 11556
"518" 55.5 2012 7 9936
