"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_roc" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "Sig_all"
"12.171" 0.732727272727273 0.791818181818182 0.787272727272727 0.759090909090909 0.825454545454545 0.63953488372093 0.288888888888889 0.825454545454545 5 0.00322806345397949 0.000315603589644995 0.000387043110820305 0.0012082924684062 6.90694533034096e-05 0.17103912602293 0.873460601891463 6.90694533034096e-05
"12.178" 0.586848635235732 0.632754342431762 0.646401985111663 0.600496277915633 0.59181141439206 0.478125 0.369047619047619 0.646401985111663 3 0.186289510318782 0.0856657634874463 0.0653917127728957 0.1508552207296 0.172486523264849 0.574210408955719 0.789456242724576 0.0653917127728957
"12.192" 0.147321428571429 0.398989898989899 0.352941176470588 0.425 0.701388888888889 0.5 0.5 0.701388888888889 5 0.998765194588073 0.795390212197286 0.865369522616007 0.696879729336171 0.0692953554977611 1 1 0.0692953554977611
"12.193" 0.740740740740741 0.774074074074074 0.824074074074074 0.785185185185185 0.731854838709677 0.710714285714286 0.278571428571429 0.824074074074074 3 0.0155072072106957 0.00702274054979034 0.0017856022642572 0.00512412261885407 0.0225739852209946 0.0776963885964618 0.942216961434645 0.0017856022642572
"12.286" 0.692708333333333 0.784722222222222 0.819444444444445 0.796875 0.851923076923077 -0.5 -0.5 0.851923076923077 5 0.0320727708005129 0.00308612408915606 0.00103823690589262 0.00209009740029534 0.000463181300963665 1 1 0.000463181300963665
"12.290" 0.631578947368421 0.674436090225564 0.745112781954887 0.763157894736842 0.72406015037594 0.7 0.583586626139818 0.763157894736842 4 0.0570579232567202 0.0181261231250841 0.00159554454022821 0.000775730612504548 0.00353609043269363 0.0133435952111158 0.221801668380676 0.000775730612504548
"12.70" 0.644444444444444 0.665972222222222 0.715972222222222 0.75 0.783333333333333 0.722222222222222 -0.5 0.783333333333333 5 0.0356257720559699 0.0190389196757928 0.00344975867601461 0.000876861379891007 0.000195666394381973 0.0958184106564346 1 0.000195666394381973
"12.97" 0.638970588235294 0.613970588235294 0.630882352941176 0.655147058823529 0.674264705882353 0.692708333333333 0.269230769230769 0.692708333333333 6 0.0456507843866371 0.083489898832633 0.0561731989483002 0.0298065247400595 0.0171239335425167 0.0512363480442251 0.90381845305557 0.0512363480442251
"122.11" 0.485470085470085 0.399145299145299 0.472649572649573 0.547008547008547 0.714529914529915 0.951388888888889 -0.5 0.951388888888889 6 0.569300415540892 0.874958832008403 0.625122024358855 0.300895437947113 0.00785689016917598 0.000144490559016179 1 0.000144490559016179
"122.17" 0.53125 0.566964285714286 0.598214285714286 0.589285714285714 0.724242424242424 0.516129032258065 0.5 0.724242424242424 5 0.379342674166852 0.249744398225727 0.159094308782137 0.18266928994635 0.0109859974043273 0.453404220211242 1 0.0109859974043273
