"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_csi" "Month"
"157.3" 0 0 0 0 0 0.5 0 0.5 6
"16.122" 0.318181818181818 0.25 0.25 0.296296296296296 0.217391304347826 0.333333333333333 0 0.333333333333333 6
"16.193" 0 0 0 0.111111111111111 0.0909090909090909 0 0 0.111111111111111 4
"16.66" 0.35 0.390243902439024 0.307692307692308 0.324324324324324 0.368421052631579 0.2 0 0.390243902439024 2
"16.75" 0.452380952380952 0.477272727272727 0.422222222222222 0.461538461538462 0.472222222222222 0.25 -1 0.477272727272727 2
"161.7" 0.3 0.263157894736842 0.25 0.35 0.380952380952381 0.352941176470588 0.142857142857143 0.380952380952381 5
"162.3" 0.2 0.238095238095238 0.217391304347826 0.25 0.222222222222222 0.2 0 0.25 4
"163.5" 0.378378378378378 0.375 0.472222222222222 0.5 0.514285714285714 0.454545454545455 0 0.514285714285714 5
"165.6" 0 0 0 0 0 -1 -1 0 1
"173.8" 0.521739130434783 0.434782608695652 0.423076923076923 0.538461538461538 0.5 0.384615384615385 0.4 0.538461538461538 4
"174.3" 0.133333333333333 0.230769230769231 0.25 0.6 0.533333333333333 0.3 0 0.6 4
"177.4" 0 0 0 0 0 0 0 0 1
"18.10" 0 0 0 0 0 0 0 0 1
"191.2" 0.08 0.0769230769230769 0.263157894736842 0.35 0.181818181818182 0.428571428571429 0 0.428571428571429 6
"196.35" 0.484848484848485 0.617647058823529 0.558823529411765 0.59375 0.645161290322581 0.419354838709677 0.166666666666667 0.645161290322581 5
"2.11" 0.16 0.206896551724138 0.172413793103448 0.259259259259259 0.285714285714286 0.5 -1 0.5 6
"2.142" 0.321428571428571 0.379310344827586 0.444444444444444 0.451612903225806 0.56 0 -1 0.56 5
"2.145" 0.3 0.256410256410256 0.307692307692308 0.277777777777778 0.315789473684211 0.333333333333333 0 0.333333333333333 6
"2.265" 0.266666666666667 0.266666666666667 0.40625 0.419354838709677 0.363636363636364 0.333333333333333 -1 0.419354838709677 4
"2.268" 0.307692307692308 0.289473684210526 0.282051282051282 0.342105263157895 0.324324324324324 0.303030303030303 0.230769230769231 0.342105263157895 4
"2.279" 0.2 0.428571428571429 0.3125 0.380952380952381 0.315789473684211 -1 -1 0.428571428571429 2
"2.28" 0.208333333333333 0.285714285714286 0.333333333333333 0.36 0.266666666666667 0.5 -1 0.5 6
"2.291" 0.351351351351351 0.333333333333333 0.371428571428571 0.371428571428571 0.393939393939394 0.393939393939394 0.35 0.393939393939394 5
"2.32" 0.125 0.115384615384615 0.153846153846154 0.148148148148148 0.142857142857143 0.363636363636364 0 0.363636363636364 6
"2.323" 0.142857142857143 0.321428571428571 0.214285714285714 0.275862068965517 0.333333333333333 0 0 0.333333333333333 5
"2.604" 0.307692307692308 0.242424242424242 0.303030303030303 0.424242424242424 0.387096774193548 0.285714285714286 0 0.424242424242424 4
"2.614" 0.256410256410256 0.214285714285714 0.225 0.219512195121951 0.256410256410256 0.181818181818182 0 0.256410256410256 1
"2.633" 0 0 0 0.333333333333333 0 0 0 0.333333333333333 4
"20.2" 0 0.153846153846154 0.133333333333333 0.157894736842105 0.333333333333333 0 -1 0.333333333333333 5
"200.4" 0.111111111111111 0.166666666666667 0.1875 0.176470588235294 0.294117647058824 0.272727272727273 0 0.294117647058824 5
"203.2" 0.151515151515152 0.25 0.366666666666667 0.4 0.344827586206897 0.333333333333333 0.166666666666667 0.4 4
