"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_bss" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "P_all"
"12.178" 0.0119326378097147 0.0465671514259576 0.0546967961011529 -0.0124934178810545 -0.0460514032069748 0.041623009644325 0.00871984607299658 0.0546967961011529 3 0.450792783301453 0.335805555389275 0.326094370727127 0.533403516991579 0.602269219843908 0.165721027646681 0.271790804985247 0.326094370727127
"12.192" -0.0574282428145014 -0.0323178660665311 -0.0402969983896837 -0.284684106684819 -0.226588643645425 0.0249999999999999 0.0249999999999999 0.0249999999999999 6 0.902158301015166 0.740301286714329 0.675457642691665 0.879585822316011 0.77350493757263 0.161902936177737 0.161902936177737 0.161902936177737
"12.193" 0.0988049874960992 0.159389115909823 0.256001517304472 0.173497748554115 0.357156822820186 0.0503976621456151 -0.0487428555780283 0.357156822820186 5 0.1766642456899 0.137880822561897 0.0681952846463098 0.21908433099252 0.0407696235924461 0.127724300331225 0.818998046997952 0.0407696235924461
"12.286" 0.143324346841502 0.20010797387366 0.284273927719104 0.0623551008882384 0.0498555847656953 -Inf NA 0.284273927719104 3 0.09348046269403 0.106758407313269 0.0395958437437943 0.404827618576357 0.443913100158448 NA NA 0.0395958437437943
"12.290" 0.100556947925369 0.113478139793929 0.213422445001392 0.285435811751601 0.242606516290727 0.180125661375661 -0.163345716537206 0.285435811751601 4 0.0715437742068026 0.12831816176631 0.0165666600193372 0.00918528990989734 0.0369578621745284 0.112305387411127 0.730961557752013 0.00918528990989734
"12.70" 0.0817129629629628 0.0725051440329217 0.156069958847737 0.216049382716049 0.249871399176955 0.274025659646575 -Inf 0.274025659646575 6 0.20148177681941 0.261877549542906 0.0657020431231937 0.017547931685027 0.0232446217710696 0.286646646813748 NA 0.286646646813748
"12.97" 0.0732843137254902 0.072739651416122 0.126851851851852 0.113643790849673 0.152342047930283 0.154320987654321 -0.00462962962962954 0.154320987654321 6 0.179639541815323 0.220741924455189 0.0929339089820759 0.150174631861191 0.125734840932971 0.323380722513577 0.57621243669217 0.323380722513577
"122.11" -0.229756251978474 -0.415447926559038 -0.431149097815764 -0.323045267489712 -0.106109528331751 0.33667695473251 -Inf 0.33667695473251 6 0.884711693875236 0.971821821832987 0.965655985903324 0.918339296828732 0.675757011353704 0.147174820098584 NA 0.147174820098584
"122.17" -0.00220471704985803 -0.0184968063216553 0.00707323811631355 -0.137699974296628 0.186794989429379 0.169030420652511 0.0263157894736843 0.186794989429379 5 0.506600149264198 0.550478681395883 0.481375939983819 0.760727080601701 0.159767216271688 0.199308899677948 0.162187355263105 0.159767216271688
"122.9" -0.214144872102682 -0.250723035867547 -0.180237387577582 -0.129224033491463 0.082030074980475 0.125572288408521 0.0107379105367299 0.125572288408521 6 0.925841578888502 0.930682177503554 0.817344400262783 0.746089606530995 0.332696072041962 0.323661557981597 0.162318823874778 0.323661557981597
"123.31" -0.401012978790756 -0.535284391534391 -0.594477513227513 -0.906966490299824 -0.904982363315697 -0.527580772261623 -0.0137981118373276 -0.0137981118373276 7 0.946825842367883 0.96355080413716 0.965602801701876 0.978314369065987 0.967666273305771 0.872928705531162 0.647370475603093 0.647370475603093
"124.2" -0.482032627865961 -0.539346957951609 -0.787037037037037 -1.1592693236715 -1.15448872785829 -5.27777777777778 -Inf -0.482032627865961 1 0.93703111025581 0.931163719093197 0.966162960948318 0.966944006468008 0.945709168070038 0.795981836284212 NA 0.93703111025581
"127.11" -0.130920737458242 -0.0946524743680286 -0.0246151410668256 0.0928134457310754 0.0467956495520955 0.302812388750445 -Inf 0.302812388750445 6 0.883687906223857 0.74907592020688 0.57246701499322 0.264235533302813 0.387754502915196 0.164858382136112 NA 0.164858382136112
"127.13" 0.0431869047717605 0.194825430802527 0.192992341138458 0.238814656232483 0.260632352819426 -Inf -Inf 0.260632352819426 5 0.312157297192555 0.0361131864471107 0.057121111903655 0.0464703789797201 0.0699509651166502 NA NA 0.0699509651166502
"133.7" 0.00175264550264553 0.117320693709583 -0.013737922705314 -0.0167824074074074 -0.255765199161426 -Inf NA 0.117320693709583 2 0.479550663414713 0.0739142996856789 0.635285494714973 0.651338200970178 0.675208411284319 NA NA 0.0739142996856789
"138.1" 0.00420321637426901 0.000208463623097788 -0.0212359098228663 -0.0875283446712019 -1.04332634521314 NA NA 0.00420321637426901 1 0.478036198290461 0.498962358835912 0.690639583858653 0.884558050461137 0.787673883122603 NA NA 0.478036198290461
"139.15" -0.200176366843033 -0.295965608465608 -0.357491582491582 -0.383459595959596 -0.334090909090909 -0.300960219478738 -0.0243282498184461 -0.0243282498184461 7 0.923363120773913 0.941639814202468 0.927593251198486 0.921844243140345 0.882135693190952 0.843082488309594 0.807036472657724 0.807036472657724
"139.35" -0.0694158664837679 -0.166750208855472 -0.00809684143017475 -0.0481376262626261 -0.085030864197531 0.146913580246914 0.0171208944793849 0.146913580246914 6 0.653810955868046 0.79135562147611 0.5179918045057 0.60333994690307 0.666547305496761 0.238948234467641 0.161203718041598 0.238948234467641
