"regine_area";"main_no";"point_no";"param_key";"version_no_end";"station_name";"station_status_name";"dt_start_date";"dt_end_date";"percent_missing_days";"first_year_regulation";"latitude";"longitude";"utm_east_z33";"utm_north_z33";"regulation_part_area";"regulation_part_reservoirs";"transfer_area_in";"transfer_area_out";"drainage_basin_key";"area_norway";"area_total";"comment";"drainage_dens";"dt_registration_date";"dt_regul_date";"gradient_1085";"gradient_basin";"gradient_river";"height_minimum";"height_hypso_10";"height_hypso_20";"height_hypso_30";"height_hypso_40";"height_hypso_50";"height_hypso_60";"height_hypso_70";"height_hypso_80";"height_hypso_90";"height_maximum";"length_km_basin";"length_km_river";"ocean_polar_angle";"ocean_polar_distance";"perc_agricul";"perc_bog";"perc_eff_bog";"perc_eff_lake";"perc_forest";"perc_glacier";"perc_lake";"perc_mountain";"perc_urban";"prec_intens_max";"utm_zone_gravi";"utm_east_gravi";"utm_north_gravi";"utm_zone_inlet";"utm_east_inlet";"utm_north_inlet";"br1_middelavrenning_1930_1960";"br2_Tilsigsberegning";"br3_Regional_flomfrekvensanalyse";"br5_Regional_lavvannsanalyse";"br6_Klimastudier";"br7_Klimascenarier";"br9_Flomvarsling";"br11_FRIEND";"br12_GRDC";"br23_HBV";"br24_middelavrenning_1930_1960";"br26_TotalAvlop";"br31_FlomserierPrim";"br32_FlomserierSekundar";"br33_Flomkart_aktive_ureg";"br34_Flomkart_aktive_ureg";"br38_Flomkart_aktive_ureg_periode";"br39_Flomkart_nedlagt_stasjon";"regine_main";"obs_series"
"21";12;97;0;1001;1;"Bergheim";"Aktiv";"01.05.1920 12:00";"16.04.2016 12:00";0.002853;1935;60.47192001;9.231314659;183106;6717868;0.363882661;0.427673221;43.63000107;0;444;4248.540039;4248.540039;NA;NA;"12.05.2015 00:00";NA;-999;20.81999969;-999;152;700;850;940;1002;1071;1139;1225;1338;1500;1930;106.8099976;-999;264.4200134;NA;1.730000019;7.059999943;NA;0.289999992;34.63000107;0.939999998;6.389999866;44.72999954;0.189999998;NA;33;139680;6745597;33;83515;6746305;"Y";"Y";"";"";"";"";"Y";"";NA;"Y";"";"";"Y";"";"";"";"Y";"";"12.97";"12.97.0.1001.1"
"22";121;20;0;1001;1;"Åmot";"Aktiv";"31.07.1987 12:00";"16.04.2016 12:00";0;NA;63.14045715;9.816179276;238900;7011786;0;0;0;0;1630;282.3599854;282.3599854;NA;NA;"12.05.2015 00:00";NA;12.64000034;22.70000076;18.04000092;205;286;336;377;418;460;509;552;627;746;1226;23.54999924;40.40999985;313.2999878;NA;3.349999905;14.73999977;NA;0.689999998;59.29000092;0;4.920000076;13.97000027;0.029999999;NA;33;244672;7001855;33;241874;6988760;"";"";"";"";"";"";"";"";NA;"Y";"";"";"";"Y";"Y";"";"";"";"121.20";"121.20.0.1001.1"
"23";122;11;0;1001;1;"Eggafoss";"Aktiv";"05.04.1941 12:00";"16.04.2016 12:00";0;NA;62.8901062;11.18387985;306061;6979097;0;0;0;0;1661;654.2399902;654.2399902;NA;NA;"12.05.2015 00:00";NA;14.47000027;28.57999992;15.05000019;285;623;717;775;811;844;878;918;964;1021;1284;32.97000122;45.43000031;325.1000061;NA;2.109999895;12.56999969;NA;0.150000006;24.54999924;0;2.839999914;43.95999908;0.039999999;NA;33;312226;6967914;33;335605;6964587;"Y";"";"Y";"Y";"Y";"";"Y";"Y";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"122.11";"122.11.0.1001.1"
"24";122;17;0;1001;1;"Hugdal bru";"Aktiv";"30.06.1972 12:00";"16.04.2016 12:00";13.70882;NA;62.99406433;10.24643517;259333;6993830;0;0;0;0;1666;546.1699829;546.1699829;NA;NA;"12.05.2015 00:00";NA;21.06999969;NA;22.20000076;130;443;503;543;583;623;664;718;816;933;1256;NA;44.99000168;NA;NA;5.989999771;16.70000076;NA;0.01;53.59000015;0;1;20.69000053;0.059999999;NA;NA;NA;NA;NA;NA;NA;"Y";"";"";"";"";"";"";"";NA;"Y";"Y";"";"Y";"";"Y";"";"";"";"122.17";"122.17.0.1001.1"
"25";122;9;0;1001;1;"Gaulfoss";"Aktiv";"19.05.1958 12:00";"16.04.2016 12:00";18.990214;1905;63.10847855;10.22901821;259399;7006617;0.04440758;0.00493666;0;122;1660;3086.409912;3086.409912;NA;NA;"12.05.2015 00:00";NA;6.960000038;NA;7.869999886;54;436;534;598;663;735;813;878;945;1019;1325;87.08999634;116.7900009;NA;NA;2.660000086;14.52999973;NA;0.01;36.72000122;0;2.049999952;35.79999924;0.079999998;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"Y";"";NA;"Y";"";"Y";"Y";"";"Y";"";"";"";"122.9";"122.9.0.1001.1"
"26";123;31;0;1001;1;"Kjeldstad i Garbergelva";"Aktiv";"01.01.1913 12:00";"16.04.2016 12:00";16.219153;NA;63.26616669;11.1310997;305905;7021101;0;0;0;0;1691;142.2250061;145;NA;NA;"12.05.2015 00:00";NA;15.18000031;18.32999992;20.62000084;200;381;453;506;537;576;619;679;741;837;1166;21.47999954;33.29999924;320.1000061;NA;0.519999981;14.75;NA;0.119999997;43.02000046;0;2.230000019;35.09999847;0.01;NA;33;315696;7021928;33;324200;7021835;"Y";"Y";"";"";"";"";"";"";NA;"Y";"Y";"";"Y";"";"Y";"";"";"";"123.31";"123.31.0.1001.1"
"27";124;2;0;1001;1;"Høggås bru";"Aktiv";"25.04.1912 12:00";"16.04.2016 12:00";0;NA;63.49292374;11.35831165;318730;7045669;0;0;0;0;1701;494.7200012;494.7200012;NA;NA;"12.05.2015 00:00";NA;7.449999809;15.46000004;12.46000004;98;378;402;434;469;505;547;597;648;750;1246;39.79999924;60.90000153;316.4299927;NA;0.449999988;26.17000008;NA;2.390000105;28.64999962;0;7.380000114;27.47999954;0;NA;33;337463;7053085;33;356895;7051045;"Y";"Y";"Y";"Y";"Y";"Y";"";"";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"124.2";"124.2.0.1001.1"
"28";127;11;0;1001;1;"Veravatn";"Aktiv";"07.10.1966 12:00";"16.04.2016 12:00";0;NA;63.78934097;12.32654285;368281;7076298;0;0;0;0;1729;97.51370239;176.1300049;NA;NA;"12.05.2015 00:00";NA;11.39999962;6.369999886;15.17000008;361;400;441;466;495;518;548;583;638;733;1215;21.45999908;27.82999992;316.4500122;NA;0.360000014;20.68000031;NA;3.650000095;33.54000092;0;4.760000229;25.09000015;0.01;NA;33;375691;7079492;33;381539;7089093;"Y";"";"";"";"";"";"Y";"";NA;"Y";"Y";"Y";"Y";"";"Y";"Y";"";"";"127.11";"127.11.0.1001.1"
"29";127;13;0;1001;1;"Dillfoss";"Aktiv";"01.01.1973 12:00";"16.04.2016 12:00";0;NA;63.76420212;11.76507282;340492;7074780;0;0;0;0;1731;447.5667114;479.6400146;NA;NA;"12.05.2015 00:00";NA;8.220000267;16.65999985;10.17000008;39;271;356;421;469;507;538;565;598;643;1031;33.52999878;53.18999863;316.4200134;NA;1.429999948;21.26000023;NA;0.189999998;41.09000015;0;2.650000095;21.14999962;0.059999999;NA;33;350256;7065907;33;365578;7071803;"";"";"";"";"";"";"";"Y";NA;"Y";"Y";"Y";"";"Y";"Y";"Y";"";"";"127.13";"127.13.0.1001.1"
"30";133;7;0;1001;0;"Krinsvatn (Kringsvatnet)";"Aktiv";"19.12.1915 12:00";"16.04.2016 12:00";0;NA;63.80408859;10.2319088;265316;7083953;0;0;0;0;1762;206.6109924;206.6100006;NA;NA;"12.05.2015 00:00";NA;-999;18.39999962;-999;87;225;266;297;324;348;369;390;415;455;627;22.87000084;-999;316.4500122;NA;0.349999994;8.979999542;NA;1.070000052;20.19000053;0;7.559999943;57.00999832;0;NA;33;273587;7087014;33;285473;7092792;"Y";"";"Y";"";"";"";"";"Y";NA;"Y";"Y";"Y";"Y";"";"Y";"Y";"";"";"133.7";"133.7.0.1001.0"
"31";138;1;0;1001;1;"Øyungen";"Aktiv";"26.09.1916 12:00";"16.04.2016 12:00";0;NA;64.24378204;11.08168697;310110;7130031;0;0;0;0;1768;239.0700073;239.0700073;NA;NA;"12.05.2015 00:00";NA;11.60999966;NA;17.45999908;103;179;207;234;264;294;337;388;438;500;682;21.32999992;29.04999924;NA;NA;0.150000006;18.75;NA;1.440000057;39.59999847;0;6.130000114;26.56999969;0.01;NA;NA;NA;NA;NA;NA;NA;"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"138.1";"138.1.0.1001.1"
"32";139;15;0;1001;1;"Bjørnstad";"Aktiv";"04.10.1934 12:00";"16.04.2016 12:00";0.010074;1951;65.01779175;13.25836372;417933;7211568;0.674585342;0.313338071;0;700.8200073;1780;1036.201294;1037.619995;NA;NA;"12.05.2015 00:00";NA;8.539999962;NA;9.25;225;451;500;567;631;700;764;836;918;1016;1675;42.95000076;84;NA;NA;0.079999998;5.659999847;NA;2.849999905;19.25;0.140000001;9.789999962;55.56999969;0;NA;NA;NA;NA;NA;NA;NA;"Y";"";"";"";"";"";"Y";"";NA;"Y";"";"";"";"Y";"";"";"Y";"";"139.15";"139.15.0.1001.1"
"33";139;35;0;1001;0;"Trangen";"Aktiv";"10.10.1934 12:00";"16.04.2016 12:00";0;NA;64.4304657;12.4816494;378745;7147388;0;0;0;0;1796;852.3900146;852.3900146;NA;NA;"12.05.2015 00:00";NA;5.989999771;NA;9.229999542;138;384;429;485;525;558;596;640;697;780;1384;74.68000031;92.44999695;NA;NA;0.460000008;13.56000042;NA;2.089999914;42.11000061;0;9.340000153;29.22999954;0.01;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"Y";"";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"139.35";"139.35.0.1001.0"
"34";148;2;0;1001;1;"Mevatnet";"Aktiv";"29.05.1973 12:00";"16.04.2016 12:00";0;NA;65.36553192;12.53804874;385514;7251430;0;0;0;0;1808;108.4700012;108.4700012;NA;NA;"12.05.2015 00:00";NA;1.620000005;29.29999924;3.079999924;15;37;56;92;121;158;208;265;329;410;783;14.13000011;21.39999962;295.6300049;NA;1.370000005;2.150000095;NA;4.019999981;59.90999985;0;9.520000458;17.39999962;0;NA;33;388540;7246044;33;397269;7244423;"";"";"";"";"";"";"";"";NA;"Y";"Y";"Y";"Y";"";"Y";"Y";"";"";"148.2";"148.2.0.1001.1"
"35";15;174;0;1001;1;"Istreelva";"Aktiv";"30.03.2007 12:00";"16.04.2016 12:00";10.344828;NA;59.07536316;10.18259525;223988;6558407;NA;NA;NA;NA;2385;25.57999992;25.57999992;NA;NA;"12.05.2015 00:00";NA;2.589999914;NA;3.380000114;10;21;25;30;34;36;39;44;52;65;113;6.360000134;10.81999969;NA;NA;49.40999985;1.210000038;NA;0.029999999;44.20999908;0;0.469999999;0;1.840000033;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";"";"";"";NA;"Y";"";"";"";"";"Y";"";"";"";"15.174";"15.174.0.1001.1"
"36";15;21;0;1001;0;"Jondalselv";"Aktiv";"22.10.1919 12:00";"16.04.2016 12:00";0;NA;59.70734406;9.554798126;193828;6631396;0;0;0;0;567;125.9000015;125.9000015;NA;NA;"12.05.2015 00:00";NA;-999;17.64999962;-999;229;351;416;477;527;574;636;692;724;753;920;19.04999924;-999;165.6799927;NA;1.289999962;5.010000229;NA;0.25;77.12000275;0;3.369999886;9.449999809;0.02;NA;33;185381;6634995;33;179033;6642588;"";"";"";"";"";"";"";"";NA;"Y";"Y";"";"Y";"";"Y";"";"";"";"15.21";"15.21.0.1001.0"
