"stations" "nobs" "" "" "" "" "tdist"
"26" "123.31.0.6004.dta" "54" "0.851603030044515" "0.111134743353947" "0.478784627628574" "0.0832726404023068" "gamma"
"27" "124.2.0.6004.dta" "54" "1.02546157588885" "0.0493608948606013" "0.770340075476332" "0.0360972967165794" "gamma"
"28" "127.11.0.6004.dta" "49" "0.856730355000218" "0.118884115878834" "0.585490334582071" "0.0843470824505514" "gamma"
"29" "127.13.0.6004.dta" "43" "0.826433344859347" "0.0470819121700402" "0.587259393237671" "0.0333539889969497" "gamma"
"30" "133.7.0.6004.dta" "54" "0.773960391855781" "0.0617810714990579" "0.467863089266501" "0.0411191274905556" "gamma"
"31" "138.1.0.6004.dta" "54" "0.819256729095758" "0.0657162924590642" "0.586679434630368" "0.0482251768428917" "gamma"
"32" "139.15.0.6004.dta" "54" "1.25007125303547" "0.0471535512662583" "0.79679939805556" "0.0421131895521335" "gamma"
"33" "139.35.0.6004.dta" "54" "0.983335688856485" "0.028953676411672" "0.972504667845174" "0.0304042274297344" "gamma"
"34" "148.2.0.6004.dta" "42" "1.14973336885064" "0.171016939767336" "1.01857201911321" "0.147367732145606" "gamma"
"35" "15.174.0.6004.dta" "6" "0.641894858123715" "1.06843887058235" "0.401242895556383" "0.65892327734067" "gamma"
"36" "15.21.0.6004.dta" "54" "0.724001408762639" "0.24057426536616" "0.442456843030019" "0.144292736011006" "gamma"
"37" "15.49.0.6004.dta" "52" "0.760522558548699" "0.783704041418444" "0.433687897741428" "0.353486245967518" "gamma"
"38" "15.53.0.6004.dta" "49" "0.627789320298987" "0.409454207505605" "0.59027399994772" "0.290601681613072" "gamma"
"39" "15.79.0.6004.dta" "54" "0.940515005084124" "0.0305243347385168" "0.634779979335225" "0.0265464544732933" "gamma"
"40" "151.15.0.6004.dta" "47" "0.724020237176618" "0.0253589736962724" "0.689157065513939" "0.026121898055146" "gamma"
"41" "152.4.0.6004.dta" "54" "0.834608101353367" "0.0253062873285672" "0.976184416614348" "0.0322943890908201" "gamma"
"42" "156.10.0.6004.dta" "54" "0.650778451514379" "0.0317132427797169" "0.771451692560806" "0.0410733804579437" "gamma"
"43" "157.3.0.6004.dta" "54" "1.40802306608163" "0.731422763428336" "0.789270341730431" "0.409360486917262" "gamma"
"44" "16.122.0.6004.dta" "41" "0.658755132210733" "0.565599685686664" "0.401232894905153" "0.353499650297009" "gamma"
"45" "16.132.0.6004.dta" "28" "0.74572617575857" "0.627384827251238" "0.511494917381806" "0.499925605375486" "gamma"
"46" "16.140.0.6004.dta" "14" "0.761705386686974" "0.0237397467232275" "0.599395944319509" "0.0256794474072537" "gamma"
"47" "16.193.0.6004.dta" "43" "0.761637346468224" "0.158137521236786" "0.474752701767772" "0.111560276740674" "gamma"
"48" "16.66.0.6004.dta" "53" "0.848217998345553" "7.035805008059" "0.442566883925202" "3.35477602075764" "gamma"
"49" "16.75.0.6004.dta" "54" "0.807997694127093" "0.292421861021886" "0.532432178831875" "0.187262809976136" "gamma"
"50" "160.7.0.6004.dta" "21" "0.796043454131224" "0.442007860665521" "0.749772516919523" "0.341387605674787" "gamma"
"51" "161.7.0.6004.dta" "42" "0.592942768240194" "0.0625336872825518" "0.529981399393906" "0.0592750248555532" "gamma"
"52" "162.3.0.6004.dta" "54" "0.870233856412047" "0.166827750823851" "0.533495865643777" "0.0920559292581168" "gamma"
"53" "163.5.0.6004.dta" "54" "0.576362390552235" "0.0388927766611922" "0.476066149248122" "0.0301437285284126" "gamma"
"54" "165.6.0.6004.dta" "54" "0.760185219741787" "0.59771610108729" "0.578186583861399" "0.428640720481142" "gamma"
"55" "168.2.0.6004.dta" "30" "1.07295541051998" "0.609204500473985" "0.656097565910533" "0.364199195084453" "gamma"
"56" "173.8.0.6004.dta" "35" "0.637121699026139" "0.255754433895025" "0.573489223931953" "0.410721583759523" "gamma"
"57" "174.11.0.6004.dta" "19" "0.642390777105038" "4.95386097079063" "0.608431906827136" "6.44230388092697" "gamma"
"58" "174.3.0.6004.dta" "34" "0.795305915381825" "0.674639206260583" "0.823536750433063" "0.742112507398018" "gamma"
"59" "177.4.0.6004.dta" "53" "0.957918274104093" "0.349226265281924" "0.882507945625379" "0.364127583752688" "gamma"
"60" "18.10.0.6004.dta" "35" "0.675473438864725" "0.100215959840089" "0.381133664176674" "0.0548196723457934" "gamma"
"61" "19.107.0.6004.dta" "16" "0.7536940979916" "0.501171910874041" "0.565830473418737" "0.419523165292469" "gamma"
"62" "191.2.0.6004.dta" "54" "0.848300328920572" "0.0388888903800301" "0.813889993297836" "0.0359406840550743" "gamma"
"63" "196.35.0.6004.dta" "53" "1.04204575646735" "0.0124542796768259" "0.651244020270848" "0.00744833925446322" "gamma"
"64" "2.11.0.6004.dta" "54" "0.886384879377311" "0.379922912254846" "0.524087930930418" "0.207219611779161" "gamma"
"65" "2.142.0.6004.dta" "53" "0.961597524600523" "0.0406303727506024" "0.541619298102315" "0.019558775081419" "gamma"
"66" "2.145.0.6004.dta" "54" "1.81717574566825" "0.00731836842052117" "0.873032790844103" "0.00428550386567623" "gamma"
"67" "2.265.0.6004.dta" "48" "0.926770671012463" "0.0910278493937491" "0.539137434349314" "0.0452380091997739" "gamma"
"68" "2.268.0.6004.dta" "54" "0.563929141240376" "0.0227214819674086" "0.770051861886246" "0.0326032148854612" "gamma"
"69" "2.279.0.6004.dta" "49" "1.0283853714709" "0.121915026955879" "0.546306391326017" "0.066393298794619" "gamma"
"70" "2.28.0.6004.dta" "54" "0.868921387927271" "0.0563400201730693" "0.521969022845817" "0.0292896431317001" "gamma"
"71" "2.291.0.6004.dta" "49" "0.547928147979383" "0.0436647124678727" "0.63830280807986" "0.0552772068042209" "gamma"
"72" "2.32.0.6004.dta" "54" "1.27697270831162" "0.125478175070688" "0.787661135812298" "0.0754001455020779" "gamma"
"73" "2.323.0.6004.dta" "45" "0.535780501257597" "0.577823165471064" "0.364558529668332" "0.359835936392652" "gamma"
"74" "2.439.0.6004.dta" "26" "0.829325359648247" "0.0931785429770681" "0.457763390601292" "0.0463573263474846" "gamma"
"75" "2.463.0.6004.dta" "28" "0.616397685543347" "0.137384576390213" "0.417479812987682" "0.12409626012064" "gamma"
"76" "2.479.0.6004.dta" "18" "1.21474017409156" "0.339888416508201" "0.726870119845966" "0.229798138714455" "gamma"
"77" "2.604.0.6004.dta" "54" "2.1870426946187" "0.00856118544999849" "0.941237040392161" "0.00360576135353121" "gamma"
"78" "2.614.0.6004.dta" "54" "0.725290103134828" "0.0222811564926412" "0.508648646289588" "0.0153173527133435" "gamma"
"79" "2.633.0.6004.dta" "33" "0.863318793978896" "0.492008414949999" "0.705726096552491" "0.423421386715707" "gamma"
"80" "2.634.0.6004.dta" "24" "0.881604885420917" "0.321582782945983" "0.430180295070991" "0.138123161839008" "gamma"
"81" "20.2.0.6004.dta" "53" "0.981091333164312" "0.0937272385636464" "0.7025192983328" "0.069650319543075" "gamma"
"82" "200.4.0.6004.dta" "54" "1.36174535819561" "0.187504870058808" "1.28298561990109" "0.162180564479455" "gamma"
"83" "203.2.0.6004.dta" "53" "1.4962398620368" "0.312100081507316" "1.33336178096993" "0.31507800169165" "gamma"
"84" "206.3.0.6004.dta" "44" "0.935117161555675" "0.153282852809107" "0.5093879374986" "0.0809082763193849" "gamma"
"85" "208.3.0.6004.dta" "31" "0.586366905973302" "0.0189166512184348" "0.370141914558968" "0.0120241071288553" "gamma"
"86" "21.47.0.6004.dta" "42" "0.609205745129997" "0.867625617428379" "0.497607648253954" "0.673833020108346" "gamma"
"87" "212.10.0.6004.dta" "49" "0.966629758240474" "0.014480986977393" "0.478647592546969" "0.00699541393718342" "gamma"
"88" "212.27.0.6004.dta" "7" "0.684650225388476" "0.0760946883397793" "0.370756466226421" "0.0347963928120141" "gamma"
"89" "212.49.0.6004.dta" "47" "0.671787970540206" "0.171472070562741" "0.460153329357504" "0.134218144531339" "gamma"
"90" "22.16.0.6004.dta" "54" "0.75886913715603" "0.0975102657010287" "0.707134630916845" "0.094825387799783" "gamma"
"91" "22.22.0.6004.dta" "41" "0.794733185144431" "0.0969695975213342" "0.511015516406772" "0.0739728592149728" "gamma"
"92" "22.4.0.6004.dta" "54" "2.33075588542097" "0.0278396523283475" "1.23616317270057" "0.0148432361815192" "gamma"
"93" "223.2.0.6004.dta" "54" "0.803195939509107" "0.0463492427044823" "0.483956582131728" "0.025667072016158" "gamma"
"94" "230.1.0.6004.dta" "53" "0.905706140158983" "1.31039059087381" "0.566231199833455" "0.893233958449182" "gamma"
"95" "234.13.0.6004.dta" "37" "1.03647545150189" "0.0388946204849885" "0.6254312233085" "0.0206773296322359" "gamma"
