"stations" "nobs" "" "" "" "" "tdist"
"35" "15.174.0.6004.dta" "5" "6.20797612273759" "1.71045058430771" "5.75113332156432" "1.46166681538997" "gumbel"
"36" "15.21.0.6004.dta" "52" "27.0816917454642" "9.12396360533155" "26.5495566312508" "6.84384785145589" "gumbel"
"37" "15.49.0.6004.dta" "51" "8.70818410546953" "2.92827665746247" "7.93993936233818" "3.36211639311549" "gumbel"
"38" "15.53.0.6004.dta" "48" "18.0731317109148" "7.52674718743104" "12.7950818705355" "4.70838219601281" "gumbel"
"39" "15.79.0.6004.dta" "52" "179.244104127251" "35.2618819094489" "143.96416100471" "34.4446105960334" "gumbel"
"40" "151.15.0.6004.dta" "46" "183.786407079946" "40.0965403568386" "155.078689152951" "39.919505394517" "gumbel"
"41" "152.4.0.6004.dta" "52" "151.380465868448" "27.0602404126247" "158.835093387239" "29.6001126796385" "gumbel"
"42" "156.10.0.6004.dta" "52" "126.147071276371" "20.4187313632356" "106.326493063487" "34.2790286944533" "gumbel"
"43" "157.3.0.6004.dta" "52" "12.9915195457473" "5.08868205331911" "11.3503963995455" "3.0165312243187" "gumbel"
"44" "16.122.0.6004.dta" "40" "12.3553948624237" "4.41305039427625" "10.4510366568143" "2.55768606850524" "gumbel"
"45" "16.132.0.6004.dta" "30" "7.56971464330681" "2.32904837726933" "7.16643010876077" "1.94241565690429" "gumbel"
"46" "16.140.0.6004.dta" "13" "202.980224884322" "52.0130743248329" "152.911151328863" "36.5513395845014" "gumbel"
"47" "16.193.0.6004.dta" "41" "42.4334305687023" "15.9445251121143" "34.7910637738554" "8.00793608389819" "gumbel"
"48" "16.66.0.6004.dta" "52" "1.24866704716117" "0.457169143731641" "0.997530053852167" "0.299932018299807" "gumbel"
"49" "16.75.0.6004.dta" "52" "20.4787366898756" "6.19304737480907" "19.0590542224575" "4.68323849449759" "gumbel"
"50" "160.7.0.6004.dta" "21" "12.6287609299938" "2.1494585907443" "11.9219401875911" "4.463961874377" "gumbel"
"51" "161.7.0.6004.dta" "41" "62.986699059538" "13.0730336341524" "64.4754329550879" "18.2377577393179" "gumbel"
"52" "162.3.0.6004.dta" "52" "39.3274672023013" "9.56834784238008" "37.1599547528546" "14.6208154419114" "gumbel"
"53" "163.5.0.6004.dta" "52" "118.206995503571" "31.1911717313795" "110.23241066376" "32.6261616474467" "gumbel"
"54" "165.6.0.6004.dta" "52" "11.150493305912" "4.16467605857781" "9.37790104414893" "2.8285907258527" "gumbel"
"55" "168.2.0.6004.dta" "29" "12.9553924779563" "3.98507265390997" "10.0580504451878" "4.22550675546882" "gumbel"
"56" "173.8.0.6004.dta" "35" "18.4260910828404" "3.73533903081806" "10.1781191177745" "1.53881720310628" "gumbel"
"57" "174.11.0.6004.dta" "19" "1.03586974568021" "0.292540470517928" "0.674912597689643" "0.122338611841306" "gumbel"
"58" "174.3.0.6004.dta" "33" "9.40252853820656" "3.16418305924019" "6.05418912397197" "1.68847444577634" "gumbel"
"59" "177.4.0.6004.dta" "51" "18.153144553774" "3.64408764276243" "14.2147409724818" "2.90266906284427" "gumbel"
"60" "18.10.0.6004.dta" "34" "75.3470447666858" "16.1418025117547" "63.0182943415248" "20.0136411911162" "gumbel"
"61" "19.107.0.6004.dta" "15" "11.192568734167" "2.7238295203852" "8.96581148519671" "2.58534710349381" "gumbel"
"62" "191.2.0.6004.dta" "52" "132.697328326877" "27.0389473386905" "127.576790356537" "30.2794727017725" "gumbel"
"63" "196.35.0.6004.dta" "52" "487.469787590491" "111.8589816986" "418.734550326226" "140.24716602448" "gumbel"
"64" "2.11.0.6004.dta" "52" "18.7708541993966" "6.56044184229486" "16.253864205775" "4.75226171325647" "gumbel"
"65" "2.142.0.6004.dta" "51" "151.139638241995" "48.8981865006948" "135.276559798917" "51.0575776692873" "gumbel"
"66" "2.145.0.6004.dta" "52" "1127.93767982273" "300.304480090156" "1014.61603548014" "217.613075160816" "gumbel"
"67" "2.265.0.6004.dta" "46" "78.7543386466592" "44.8050586509716" "81.5116857226149" "24.9107502688199" "gumbel"
