felt	veravatn	127_11	53.97	65.96	104.34	47.36	56.14	82.35	176
felt	dillfoss	127_13	148.33	175.45	288.88	143.85	170.8	273.56	480
felt	krinsvatn	133_7	134.23	164.28	265.85	104.3	128.34	239.36	207
felt	oyungen	138_1	131.06	162.91	282.57	93.85	112.22	189.35	239
felt	bjornstad	139_15	194.89	250.34	366.09	128.33	155.29	206.69	1038
felt	trangen	139_35	171.25	201.82	257.82	143.98	179.13	235.78	852
felt	mevatnet	148_2	43.44	53.43	77.64	34.04	43.31	56.37	108
felt	nervoll	151_15	200.14	238.51	306.89	177.78	221.82	286.74	653
felt	fustvatn	152_4	159.6	188.46	256.57	170.99	201.38	255.01	526
felt	berget	156_10	140.87	161.55	219.45	128.62	156.41	258.68	211
felt	vassvatn	157_3	19.63	25.19	37.33	12.44	15.24	21.27	16
felt	skauvoll	160_7	13.59	16.06	19.58	14.73	18.64	30.25	20
felt	tollaaga	161_7	69.72	81.3	113.94	76.38	94.63	140.18	225
felt	skarsvatn	162_3	46.51	57.41	87.43	46.4	60.78	90.07	145
felt	junkerdalselv	163_5	135.45	163.82	223.72	127.98	162.03	216.82	422
felt	strandaa	165_6	12.37	15.21	24.45	10.67	13.18	20.12	24
felt	morsvikbru	168_2	15.32	18.41	32.75	12.72	15.96	29.91	31
felt	coarveveij	173_8	21.21	24.81	29.85	10.93	12.58	15.25	63
felt	ovstevatn	174_3	10.93	13.26	22.67	7.26	8.64	16.16	28
felt	taraldsvikelv	174_11	1.1	1.38	1.8	0.75	0.87	1.17	3
felt	sneisvatn	177_4	20.96	24.7	31.39	15.56	18.64	23.35	29
felt	ovrevatn	191_2	157.58	186.61	279.29	148.52	177.18	289.5	526
felt	malangsfoss	196_35	529.95	633.43	775.46	484.96	607.59	871.68	3111
felt	skogsfjordvatn	200_4	42.21	53.62	82.08	36.67	45.35	65.62	136
felt	jaegervatn	203_2	17.33	19.99	27.17	16.33	19.57	30.69	92
felt	manndalenbru	206_3	61.37	75.8	114.04	51.55	60.61	76.56	200
felt	svartfossberget	208_3	392.07	472.28	609.24	323.14	385.93	488.37	1932
felt	masi	212_10	633.82	809.52	1067.65	523.39	650.82	885.23	5621
felt	eibyelva	212_27	110.52	147.14	174.92	110.88	139.09	186.96	624
felt	halsnes	212_49	36.95	42.8	57.84	32.03	38.42	49.03	145
felt	lombola	223_2	193.53	238.47	316.6	168.51	200.81	256.59	877
felt	nordmannset	230_1	7.67	9.66	14.49	5.15	6.12	8.48	19
felt	vaekkava	234_13	208.01	258.46	342.33	196.91	246.58	357.24	2079
felt	polmak	234_18	1645.72	2092.75	3019.76	1287.92	1596.96	2327.42	14161
felt	karpelva	247_3	30.86	39.39	57.62	23.51	28.91	39.65	129
felt	nybergsund	311_6	326.57	403.12	618.11	279.69	350.65	507.97	4425
felt	engeren	311_460	53.62	66.5	108.01	41.67	54	74.88	395
felt	magnor	313_10	36.26	45.84	81.04	29.63	36.3	51.51	358
