Stasjonsnr;Regime;WSZ;WRRatio;Jan;Feb;Mar;Apr;Mai;Jun;Jul;;;
2.265;H1L1;0.8982886;0.07735039;0.057133172;0.112695761;0.120872709;0.224414942;0.379060746;0.612717139;0.172355299;;;
2.268;H1L1;0.9684802;0.03835058;-0.064492836;-0.072249016;-0.011360912;0.043426562;-0.092629288;0.161250357;0.393153832;;;
2.32;H1L1;0.9400766;0.04379052;-0.029653785;-0.131205077;-0.090934731;-0.016546871;0.067947425;0.499196237;0.264069759;;;
2.614;H1L1;0.9276117;0.05303046;-0.015799635;-0.048586805;0.003941371;0.039480806;0.108374846;0.395994676;0.643039254;;;
203.2;H1L1;0.8502682;0.23612980;0.022486466;0.224707513;0.225742641;0.349201745;0.396621485;0.592146050;0.188875613;;;
206.3;H1L1;0.9674585;0.06410463;0.177341403;0.268305092;0.400982623;0.361907017;0.353196872;0.394233272;0.753425873;;;
208.3;H1L1;0.9676628;0.02887191;0.221313293;0.192467709;0.130160551;0.162045701;0.367722576;0.587888189;0.781905541;;;
21.47;H1L1;0.9147382;0.07754084;-0.279002040;-0.180377952;-0.069531767;-0.026600574;-0.009552595;0.353121278;0.095410134;;;
212.10;H1L1;0.9621456;0.02530431;0.132967287;0.101361595;0.027927685;0.045859555;0.333775230;0.765183581;0.499758353;;;
212.49;H1L1;0.9396679;0.06385251;0.084621138;0.049192825;0.053015344;0.045047640;0.178717646;0.472732476;0.775954418;;;
223.2;H1L1;0.9479438;0.04689104;0.199741501;0.220962973;0.252685444;0.381087816;0.550925587;0.729297447;0.783195982;;;
234.13;H1L1;0.9567305;0.02971094;0.225376066;0.240981733;0.313728795;0.344756557;0.508495239;0.880059383;0.495128656;;;
234.18;H1L1;0.9473308;0.04098763;-0.021483595;-0.046307783;0.032765451;0.035806733;0.335778604;0.830596747;0.617184120;;;
25.24;H1L1;0.9086079;0.08885822;-0.003223343;0.072537624;0.100461716;0.080827224;0.147447920;0.506717256;0.495638250;;;
311.6;H1L1;0.8841890;0.09217184;0.263240223;0.278662253;0.313647961;0.426282835;0.552121658;0.829487261;0.440613087;;;
48.1;H1L1;0.8626309;0.24431537;0.077889444;0.230805738;0.317612180;0.340770332;0.302636996;0.461931292;0.389430679;;;
48.5;H1L1;0.9072797;0.14898256;0.124187009;0.258167774;0.320123327;0.337340544;0.348573941;0.513606716;0.631395447;;;
50.1;H1L1;0.9365006;0.09155683;0.407745278;0.489143523;0.498140096;0.501988020;0.515148648;0.583243657;0.709978229;;;
50.13;H1L1;0.9424266;0.05494657;0.255579172;0.437640443;0.451944246;0.451042002;0.503267422;0.748055399;0.796196016;;;
62.10;H1L1;0.8302427;0.27402816;0.219564846;0.193425444;0.220554624;0.242591515;0.316079943;0.420621189;0.554154198;;;
62.5;H1L1;0.7923372;0.33724108;0.101106307;0.207856359;0.366507703;0.473432351;0.433820716;0.664427093;0.706301021;;;
72.5;H1L1;0.9358876;0.13182612;0.420574708;0.327889864;0.412620340;0.409988806;0.406483358;0.465364547;0.550662437;;;
73.27;H1L1;0.9661303;0.02899849;0.077351799;-0.044520565;0.005039630;0.092233135;0.039870471;0.395762009;0.452677019;;;
75.23;H1L1;0.9179055;0.13071605;0.204112234;0.261164971;0.262953436;0.375605496;0.417090275;0.455072430;0.524033065;;;
77.3;H1L1;0.8624266;0.21034022;-0.035093588;0.036303075;0.074339365;0.146363111;0.091163138;0.251930617;0.314114921;;;
83.2;H1L1;0.7767050;0.36451355;0.225718573;0.475491475;0.519560672;0.616023353;0.629763924;0.668492132;0.774901006;;;
86.12;H1L1;0.7957088;0.29970389;-0.041337981;0.244591205;0.195883156;0.206695473;0.149566182;0.134654466;0.084997452;;;
87.10;H1L1;0.8563985;0.23901488;0.075682265;0.169579739;0.211308723;0.345329809;0.397302927;0.362911701;0.350398822;;;
97.1;H1L1;0.6321328;0.41599088;-0.016497969;0.105290069;0.076629301;0.339470990;0.449395770;0.284137626;0.287452666;;;
98.4;H1L1;0.8344317;0.21416919;0.045174300;0.277524287;0.345842726;0.517969709;0.559041133;0.590189396;0.635251259;;;
127.11;H2L1;0.7674074;0.29121267;-0.065211782;0.161970503;0.123947367;0.253852421;0.363246912;0.705095909;0.367245414;;;
15.21;H2L1;0.7423755;0.19324583;0.074960765;0.127547588;0.251245445;0.300739169;0.396448698;0.241972578;0.073779894;;;
152.4;H2L1;0.7657727;0.38412065;-0.253710156;-0.044408238;0.195174270;0.269754295;0.330599525;0.582331422;0.645299274;;;
157.3;H2L1;0.6983397;0.49989152;-0.192006627;-0.110690511;-0.093229409;0.146211940;0.134142871;0.364656228;0.209537133;;;
16.122;H2L1;0.8506769;0.11157848;0.219694547;0.242823752;0.169999333;0.185326290;0.166768024;0.476263031;0.338260820;;;
16.193;H2L1;0.7242912;0.24474395;0.070766031;0.072807145;0.162806604;0.102276106;0.112063844;0.009071098;0.150453643;;;
16.66;H2L1;0.8828608;0.07331901;0.153493069;0.088478980;0.139829766;0.154871378;0.247038720;0.507853272;0.238134522;;;
